cnty,year,legid,district,dtv,dm,rd,p1s,p1v,p2s,p2v,p3s,p3v,p4s,p4v,p5s,p5v,p6s,p6v,p7s,p7v,p8s,p8v,p9s,p9v,p10s,p10v,p11s,p11v,p12s,p12v,p13s,p13v,p14s,p14v,p15s,p15v,p16s,p16v,p17s,p17v,p18s,p18v,p19s,p19v,p20s,p20v,p21s,p21v,p22s,p22v,p23s,p23v,p24s,p24v,p25s,p25v,p26s,p26v,p27s,p27v,p28s,p28v,p29s,p29v,p30s,p30v,p31s,p31v,p32s,p32v,p33s,p33v,p34s,p34v,p35s,p35v,p36s,p36v,p37s,p37v,p38s,p38v,p39s,p39v,p40s,p40v,p41s,p41v,p42s,p42v,p43s,p43v,p44s,p44v,p45s,p45v,p46s,p46v,p47s,p47v,p48s,p48v,p49s,p49v,p50s,p50v,p51s,p51v,p52s,p52v,p53s,p53v,p54s,p54v,p55s,p55v,p56s,p56v,p57s,p57v,p58s,p58v,p59s,p59v,p60s,p60v,p61s,p61v,p62s,p62v,p63s,p63v,p64s,p64v,p65s,p65v,p66s,p66v,p67s,p67v,p68s,p68v,p69s,p69v,p70s,p70v,p71s,p71v,p72s,p72v,p73s,p73v,p74s,p74v,p75s,p75v,p76s,p76v,p77s,p77v,p78s,p78v,p79s,p79v,p80s,p80v,p81s,p81v,p82s,p82v,p83s,p83v,p84s,p84v,p85s,p85v,p86s,p86v,p87s,p87v,p88s,p88v,p89s,p89v,p90s,p90v,p91s,p91v,p92s,p92v,p93s,p93v,p94s,p94v,p95s,p95v,p96s,p96v,p97s,p97v,p98s,p98v,p99s,p99v,p100s,p100v,p101s,p101v,p102s,p102v,p103s,p103v,p104s,p104v,p105s,p105v,p106s,p106v,p107s,p107v,p108s,p108v,p109s,p109v,p110s,p110v,p111s,p111v,p112s,p112v,p113s,p113v,p114s,p114v,p115s,p115v,p116s,p116v
Czech Republic,1996,2,Znojmo,23349,1,2,,,,,1,16246,,,,,,,,,0,7103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,1996,2,Zlin,22951,1,2,,,,,1,13807,,,,,,,,,0,9144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,1996,2,Zlin,26738,1,2,,,,,0,12663,,,,,,,,,1,14075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,1996,2,Zdar nad Sazavou,28538,1,2,,,,,1,16442,,,,,,,,,0,12096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,1996,2,Vyskov,25854,1,2,,,,,1,15302,,,,,,,,,0,10552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,1996,2,Vsetin,32855,1,2,,,0,15765,,,,,,,,,,,1,17090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,1996,2,Usti nad Orlici,30219,1,2,,,,,1,17294,,,,,,,,,0,12925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,1996,2,Usti nad Labem,27231,1,2,,,1,16306,,,,,,,,,,,0,10925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,1996,2,Uherske Hradiste,24546,1,2,,,,,1,16190,,,,,,,,,0,8356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,1996,2,Trutnov,30306,1,2,,,0,13998,,,,,,,,,,,1,16308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,1996,2,Trebic,24565,1,2,,,,,,,,,,,,,,,0,9909,,,,,1,14656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,1996,2,Teplice,25430,1,2,,,1,13396,,,,,,,,,,,0,12034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,1996,2,Tabor,37327,1,2,,,0,17558,,,,,,,,,,,1,19769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
