"","country","year","sex","age","suicides_no","population","gdp_for_year","gdp_per_capita","generation","continent"
"1","Albania",1987,"Male","15-24",21,312900,2156624900,796,"Generation X","Europe"
"2","Albania",1987,"Male","35-54",16,308000,2156624900,796,"Silent","Europe"
"3","Albania",1987,"Female","15-24",14,289700,2156624900,796,"Generation X","Europe"
"4","Albania",1987,"Male","75+",1,21800,2156624900,796,"G.I. Generation","Europe"
"5","Albania",1987,"Male","25-34",9,274300,2156624900,796,"Boomers","Europe"
"6","Albania",1987,"Female","75+",1,35600,2156624900,796,"G.I. Generation","Europe"
"7","Albania",1987,"Female","35-54",6,278800,2156624900,796,"Silent","Europe"
"8","Albania",1987,"Female","25-34",4,257200,2156624900,796,"Boomers","Europe"
"9","Albania",1987,"Male","55-74",1,137500,2156624900,796,"G.I. Generation","Europe"
"10","Albania",1987,"Female","5-14",0,311000,2156624900,796,"Generation X","Europe"
"11","Albania",1987,"Female","55-74",0,144600,2156624900,796,"G.I. Generation","Europe"
"12","Albania",1987,"Male","5-14",0,338200,2156624900,796,"Generation X","Europe"
"13","Albania",1988,"Female","75+",2,36400,2.126e+09,769,"G.I. Generation","Europe"
"14","Albania",1988,"Male","15-24",17,319200,2.126e+09,769,"Generation X","Europe"
"15","Albania",1988,"Male","75+",1,22300,2.126e+09,769,"G.I. Generation","Europe"
"16","Albania",1988,"Male","35-54",14,314100,2.126e+09,769,"Silent","Europe"
"17","Albania",1988,"Male","55-74",4,140200,2.126e+09,769,"G.I. Generation","Europe"
"18","Albania",1988,"Female","15-24",8,295600,2.126e+09,769,"Generation X","Europe"
"19","Albania",1988,"Female","55-74",3,147500,2.126e+09,769,"G.I. Generation","Europe"
"20","Albania",1988,"Female","25-34",5,262400,2.126e+09,769,"Boomers","Europe"
"21","Albania",1988,"Male","25-34",5,279900,2.126e+09,769,"Boomers","Europe"
"22","Albania",1988,"Female","35-54",4,284500,2.126e+09,769,"Silent","Europe"
"23","Albania",1988,"Female","5-14",0,317200,2.126e+09,769,"Generation X","Europe"
"24","Albania",1988,"Male","5-14",0,345000,2.126e+09,769,"Generation X","Europe"
"25","Albania",1989,"Male","75+",2,22500,2335124988,833,"G.I. Generation","Europe"
"26","Albania",1989,"Male","25-34",18,283600,2335124988,833,"Boomers","Europe"
"27","Albania",1989,"Male","35-54",15,318400,2335124988,833,"Silent","Europe"
"28","Albania",1989,"Male","55-74",6,142100,2335124988,833,"G.I. Generation","Europe"
"29","Albania",1989,"Male","15-24",12,323500,2335124988,833,"Generation X","Europe"
"30","Albania",1989,"Female","35-54",7,288600,2335124988,833,"Silent","Europe"
"31","Albania",1989,"Female","15-24",5,299900,2335124988,833,"Generation X","Europe"
"32","Albania",1989,"Female","25-34",2,266300,2335124988,833,"Boomers","Europe"
"33","Albania",1989,"Female","55-74",1,149600,2335124988,833,"G.I. Generation","Europe"
"34","Albania",1989,"Female","5-14",0,321900,2335124988,833,"Generation X","Europe"
"35","Albania",1989,"Female","75+",0,37000,2335124988,833,"G.I. Generation","Europe"
"36","Albania",1989,"Male","5-14",0,349700,2335124988,833,"Generation X","Europe"
"37","Albania",1992,"Male","35-54",12,343800,709452584,251,"Boomers","Europe"
"38","Albania",1992,"Male","15-24",9,263700,709452584,251,"Generation X","Europe"
"39","Albania",1992,"Male","55-74",5,159500,709452584,251,"Silent","Europe"
"40","Albania",1992,"Male","25-34",7,245500,709452584,251,"Boomers","Europe"
"41","Albania",1992,"Female","15-24",7,292400,709452584,251,"Generation X","Europe"
"42","Albania",1992,"Female","25-34",4,267400,709452584,251,"Boomers","Europe"
"43","Albania",1992,"Female","35-54",2,323100,709452584,251,"Boomers","Europe"
"44","Albania",1992,"Female","55-74",1,164900,709452584,251,"Silent","Europe"
"45","Albania",1992,"Female","5-14",0,336700,709452584,251,"Millenials","Europe"
"46","Albania",1992,"Female","75+",0,38700,709452584,251,"G.I. Generation","Europe"
"47","Albania",1992,"Male","5-14",0,362900,709452584,251,"Millenials","Europe"
"48","Albania",1992,"Male","75+",0,23900,709452584,251,"G.I. Generation","Europe"
"49","Albania",1993,"Male","15-24",18,243300,1228071038,437,"Generation X","Europe"
"50","Albania",1993,"Male","55-74",7,165000,1228071038,437,"Silent","Europe"
"51","Albania",1993,"Male","75+",1,24200,1228071038,437,"G.I. Generation","Europe"
"52","Albania",1993,"Male","25-34",9,230100,1228071038,437,"Boomers","Europe"
"53","Albania",1993,"Female","15-24",10,285300,1228071038,437,"Generation X","Europe"
"54","Albania",1993,"Male","35-54",10,350300,1228071038,437,"Boomers","Europe"
"55","Albania",1993,"Female","25-34",7,261800,1228071038,437,"Boomers","Europe"
"56","Albania",1993,"Female","35-54",7,331200,1228071038,437,"Boomers","Europe"
"57","Albania",1993,"Female","55-74",2,169500,1228071038,437,"Silent","Europe"
"58","Albania",1993,"Female","5-14",1,340300,1228071038,437,"Millenials","Europe"
"59","Albania",1993,"Male","5-14",1,367000,1228071038,437,"Millenials","Europe"
"60","Albania",1993,"Female","75+",0,39300,1228071038,437,"G.I. Generation","Europe"
